ISO,TAX,RF,MRP
US,0.26,0.0423,0.0587
CN,0.25,0.0165,0.0663
DE,0.30,0.0259,0.0699
JP,0.31,0.0147,0.0595
IN,0.30,0.0631,0.0601
GB,0.25,0.0448,0.0608
FR,0.26,0.0328,0.0635
IT,0.28,0.0349,0.0734
CA,0.26,0.0327,0.0628
BR,0.34,0.1358,0.0326
RU,0.20,0.1512,0.1004
KR,0.26,0.0281,0.0742
MX,0.30,0.0914,0.0458
AU,0.30,0.0414,0.0623
ES,0.25,0.0322,0.0721
ID,0.22,0.0662,0.0513
TR,0.25,0.2900,0.0791
NL,0.26,0.0280,0.0651
SA,0.20,0.0428,0.0828
CH,0.20,0.0041,0.0615
PL,0.19,0.0542,0.0773
TW,0.20,0.0141,0.0730
BE,0.25,0.0316,0.0611
AR,0.35,0.1072,0.0750
SE,0.21,0.0225,0.0689
IE,0.13,0.0290,0.0649
SG,0.17,0.0219,0.0649
IL,0.23,0.0405,0.0711
AE,0.09,0.0408,0.0608
TH,0.20,0.0207,0.0632
AT,0.23,0.0298,0.0872
NO,0.22,0.0380,0.0709
PH,0.25,0.0625,0.0528
VN,0.20,0.0328,0.0721
BD,0.28,0.1236,0.0347
DK,0.22,0.0247,0.0662
MY,0.24,0.0346,0.0483
CO,0.35,0.1226,0.0465
HK,0.17,0.0289,0.0548
IR,0.25,0.2865,0.0896
ZA,0.27,0.0995,0.0473
RO,0.16,0.0737,0.0586
EG,0.23,0.2173,0.0430
PK,0.29,0.1224,0.0629
CZ,0.21,0.0423,0.0552
CL,0.27,0.0564,0.0494
PT,0.32,0.0305,0.0596
FI,0.20,0.0303,0.0575
PE,0.30,0.0621,0.0683
KZ,0.20,0.1389,0.0244
IQ,0.15,0.0657,0.0768
DZ,0.26,0.0700,0.0652
NZ,0.28,0.0452,0.0427
GR,0.22,0.0329,0.1044
HU,0.09,0.0704,0.0801
QA,0.10,0.0405,0.0566
UA,0.18,0.1274,0.1107
NG,0.30,0.1873,0.0685
KW,0.15,0.0404,0.0401
MA,0.33,0.0276,0.0562
ET,0.30,0.1993,0.0619
SK,0.21,0.0341,0.0524
DO,0.27,0.0797,0.0540
EC,0.25,0.0821,0.0484
PR,0.38,0.0408,0.0390
KE,0.30,0.1334,0.0618
VE,0.34,0.0000,0.0754
AO,0.25,0.1671,0.0779
UZ,0.15,0.0950,0.0578
GT,,0.0762,0.0408
BG,,,0.0494

